date,jour,heure,fin,terrain,duree,prix,statut,vu_dispo,premier_vu,dernier_vu,releve
2026-05-31,Dimanche,19:00,20:00,Terrain 1623d87a,60,40.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,19:00,20:00,Terrain 2c18d1d9,60,40.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,19:00,20:00,Terrain 2e267263,60,40.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,19:00,20:00,Terrain 69d293cc,60,40.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,19:00,20:00,Terrain a62df697,60,40.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,20:00,21:00,Terrain 1623d87a,60,40.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,20:00,21:00,Terrain 2c18d1d9,60,40.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,20:00,21:00,Terrain 2e267263,60,40.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,20:00,21:00,Terrain 69d293cc,60,40.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,20:00,21:00,Terrain 94fca3b5,60,40.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,20:00,21:00,Terrain a62df697,60,40.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,21:00,22:00,Terrain 1623d87a,60,25.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,21:00,22:00,Terrain 2c18d1d9,60,25.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,21:00,22:00,Terrain 2e267263,60,25.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,21:00,22:00,Terrain 69d293cc,60,25.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,21:00,22:00,Terrain 94fca3b5,60,25.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,21:00,22:00,Terrain a62df697,60,25.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,22:00,23:00,Terrain 1623d87a,60,25.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,22:00,23:00,Terrain 2c18d1d9,60,25.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,22:00,23:00,Terrain 2e267263,60,25.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,22:00,23:00,Terrain 581b1057,60,40.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,22:00,23:00,Terrain 59f5c1cc,60,54.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,22:00,23:00,Terrain 69d293cc,60,25.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,22:00,23:00,Terrain 921734ea,60,54.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,22:00,23:00,Terrain 94fca3b5,60,25.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,22:00,23:00,Terrain a115dc23,60,40.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,22:00,23:00,Terrain a62df697,60,25.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,22:00,23:00,Terrain ac280e48,60,54.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,22:00,23:00,Terrain db9df5dc,60,54.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,22:00,23:00,Terrain e9a9a453,60,40.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,23:00,00:00,Terrain 1623d87a,60,25.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-05-31,Dimanche,23:00,00:00,Terrain 2c18d1d9,60,25.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
