date,jour,heure,fin,terrain,duree,prix,statut,vu_dispo,premier_vu,dernier_vu,releve
2026-05-31,Dimanche,19:00,20:30,Terrain 1a78f473,90,84.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,09:00,10:30,Terrain 1a78f473,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,09:00,11:00,Terrain 1a78f473,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,09:00,10:30,Terrain 5b7001f3,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,09:00,11:00,Terrain 5b7001f3,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,09:00,10:30,Terrain c258125b,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,09:00,10:30,Terrain f6d07bcf,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,09:00,11:00,Terrain f6d07bcf,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,09:00,10:30,Terrain f98a1fd8,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,09:00,11:00,Terrain f98a1fd8,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,10:30,12:00,Terrain 1a78f473,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,10:30,12:30,Terrain 1a78f473,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,10:30,12:00,Terrain 5b7001f3,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,10:30,12:00,Terrain c258125b,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,10:30,12:30,Terrain f6d07bcf,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,10:30,12:30,Terrain f98a1fd8,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-01,Lundi,11:00,12:30,Terrain 1a78f473,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
