date,jour,heure,activite,coach,presents,capacite,remplissage,taux_%,complet,session_id
2026-03-22,Dimanche,09:30,RE-BOOST (Soft launch),Prosper MATUSSIERE,14,14,14/14,100.0,oui,35787947
2026-03-22,Dimanche,11:00,RE-COVER (Soft launch),alice dunoyer,40,42,40/42,95.2,non,35788380
2026-03-22,Dimanche,12:30,RE-COVER (Soft launch),Cécile Penager,41,42,41/42,97.6,non,35788395
2026-03-22,Dimanche,14:00,FREE-FLOW (Soft launch),Thomas Verdier,20,20,20/20,100.0,oui,35816335
2026-03-22,Dimanche,14:30,FREE-FLOW (Soft launch),Thomas Verdier,20,20,20/20,100.0,oui,35816336
2026-03-22,Dimanche,16:30,RE-COVER (Soft launch),Gautier Lacointa,38,42,38/42,90.5,non,35800463
2026-03-22,Dimanche,18:00,RE-LAX (Soft launch),Théodore Zachée,41,42,41/42,97.6,non,35788180
2026-03-23,Lundi,07:45,RE-BOOST (Soft launch),Sacha Adda,6,14,6/14,42.9,non,35816141
2026-03-23,Lundi,12:15,RE-COVER (Soft launch),Leonore Chapin,36,42,36/42,85.7,non,35816190
2026-03-23,Lundi,18:00,RE-LAX (Soft launch),Agathe Delacour,42,42,42/42,100.0,oui,35816266
2026-03-23,Lundi,19:30,RE-LAX (Soft launch),Théodore Zachée,42,42,42/42,100.0,oui,35816324
2026-03-23,Lundi,21:00,RE-LAX (Soft launch),Faustine CHOPIN,42,42,42/42,100.0,oui,35816326
2026-03-24,Mardi,07:45,RE-BOOST (Soft launch),Leonore Chapin,20,42,20/42,47.6,non,35816343
2026-03-24,Mardi,12:15,RE-BOOST (Soft launch),Théodore Zachée,39,42,39/42,92.9,non,35789174
2026-03-24,Mardi,18:00,RE-LAX (Soft launch),alice dunoyer,41,42,41/42,97.6,non,35816348
2026-03-24,Mardi,19:30,RE-COVER (Soft launch),Prosper MATUSSIERE,42,42,42/42,100.0,oui,35816350
2026-03-24,Mardi,21:00,RE-LAX (Soft launch),Prosper MATUSSIERE,42,42,42/42,100.0,oui,35816352
2026-03-30,Lundi,12:00,Quiet Free-Flow,Free Flow session,4,21,4/21,19.0,non,36321032
2026-03-30,Lundi,12:30,Quiet Free-Flow,Free Flow session,4,21,4/21,19.0,non,36321072
2026-03-30,Lundi,13:00,Quiet Free-Flow,Free Flow session,6,21,6/21,28.6,non,36321195
2026-03-30,Lundi,17:30,Quiet Free-Flow,Free Flow session,5,14,5/14,35.7,non,36281163
2026-03-30,Lundi,18:00,Quiet Free-Flow,Free Flow session,3,14,3/14,21.4,non,36281283
2026-03-30,Lundi,18:30,Quiet Free-Flow,Free Flow session,14,14,14/14,100.0,oui,35210685
2026-03-30,Lundi,20:30,RE-LAX,Gautier Lacointa,13,28,13/28,46.4,non,36331342
2026-03-31,Mardi,12:00,Quiet Free-Flow,Free Flow session,0,21,0/21,0.0,non,36321230
2026-03-31,Mardi,12:30,Quiet Free-Flow,Free Flow session,3,21,3/21,14.3,non,36321282
2026-03-31,Mardi,13:00,Quiet Free-Flow,Free Flow session,4,21,4/21,19.0,non,36321346
2026-03-31,Mardi,18:30,RE-LAX,Faustine CHOPIN,17,28,17/28,60.7,non,36297670
2026-03-31,Mardi,20:15,RE-LAX,Théodore Zacchée,21,28,21/28,75.0,non,36298032
2026-04-01,Mercredi,12:15,RE-BOOST,Cécile Penager,11,28,11/28,39.3,non,36321395
2026-04-01,Mercredi,16:30,Quiet Free-Flow,Free Flow session,10,34,10/34,29.4,non,36298326
2026-04-01,Mercredi,18:30,RE-LAX,Pauline RAMON @pilatesbypops,19,28,19/28,67.9,non,36298366
2026-04-01,Mercredi,20:15,RE-LAX,Prosper MATUSSIERE,15,28,15/28,53.6,non,36298564
2026-04-02,Jeudi,12:15,RE-BOOST,Leonore Chapin,19,28,19/28,67.9,non,36321546
2026-04-02,Jeudi,16:30,Quiet Free-Flow,Free Flow session,8,34,8/34,23.5,non,36298741
2026-04-02,Jeudi,18:30,RE-LAX,Faustine CHOPIN,19,28,19/28,67.9,non,36298795
