date,jour,heure,cours,coach,statut,places_restantes,presents,locked,releve
2026-05-28,Jeudi,18:30,Sense Flow,Jessika,disponible,,,True,2026-05-28 18:15
2026-05-28,Jeudi,19:30,Power Sense,Jessika,presque complet,1,4,True,2026-05-28 18:15
2026-05-29,Vendredi,08:00,Booty Sense,Kelly,disponible,,,True,2026-05-29 06:31
2026-05-29,Vendredi,09:00,Power Sense,Kelly,presque complet,1,4,True,2026-05-29 06:31
2026-05-29,Vendredi,11:00,Power Sense,Liz,disponible,,,True,2026-05-29 10:04
2026-05-29,Vendredi,12:00,Booty Sense,Liz,disponible,,,True,2026-05-29 10:04
2026-05-29,Vendredi,13:00,Power Sense,Liz,disponible,,,True,2026-05-29 10:04
2026-05-29,Vendredi,15:00,Power Sense,Alexandre,disponible,,,True,2026-05-29 13:26
2026-05-29,Vendredi,16:00,Booty Sense,Alexandre,disponible,,,True,2026-05-29 13:26
2026-05-29,Vendredi,17:00,Booty Sense,Alexandre,disponible,,,True,2026-05-29 13:26
2026-05-29,Vendredi,18:00,Power Sense,Alexandre,presque complet,1,4,True,2026-05-29 13:26
2026-05-29,Vendredi,18:00,Power Sense,Alexandre - Head Coach Afficher les détails Sense Club Rejoindre la liste d'attente 19:00 50 min Booty Sense Alexandre,disponible,,,True,2026-05-29 00:54
2026-05-29,Vendredi,19:00,Booty Sense,Alexandre,disponible,,,True,2026-05-29 13:26
2026-05-29,Vendredi,20:00,Power Sense,Alexandre,presque complet,1,4,True,2026-05-29 18:26
2026-05-30,Samedi,09:00,Booty Sense,Sarah D Afficher les détails Sense Club Rejoindre la liste d'attente 10:00 50 min Power Sense Sarah D Afficher les détails Sense Club Rejoindre la liste d'attente 11:00 50 min Power Sense Sarah D Afficher les détails Sense Club Rejoindre la liste d'attente 12:00 50 min Booty Sense Raphaëlle Afficher les détails Sense Club Rejoindre la liste d'attente 13:00 50 min Power Sense Raphaëlle,presque complet,1,4,True,2026-05-30 08:52
2026-05-30,Samedi,12:00,Booty Sense,Raphaëlle Afficher les détails Sense Club Indisponible 13:00 50 min Power Sense Raphaëlle Afficher les détails Sense Club Indisponible 15:30 50 min Booty Sense Alexandre - Head Coach Afficher les détails Sense Club Rejoindre la liste d'attente 16:30 50 min Power Sense Alexandre,presque complet,1,4,True,2026-05-30 11:24
2026-05-30,Samedi,15:30,Booty Sense,Alexandre - Head Coach Afficher les détails Sense Club Indisponible 16:30 50 min Power Sense Alexandre,presque complet,1,4,True,2026-05-30 14:47
2026-05-30,Samedi,15:30,Booty Sense,Alexandre - Head Coach Afficher les détails Sense Club Rejoindre la liste d'attente 16:30 50 min Power Sense Alexandre,presque complet,1,4,True,2026-05-30 13:01
2026-05-30,Samedi,17:30,Booty Sense,Alexandre,disponible,,,True,2026-05-30 16:44
2026-05-30,Samedi,18:30,Power Sense,Alexandre,disponible,,,True,2026-05-30 18:11
2026-05-31,Dimanche,10:00,Power Sense,Safia Afficher les détails Sense Club Indisponible 11:00 50 min Sense Flow Safia,presque complet,1,4,True,2026-05-31 09:50
2026-05-31,Dimanche,10:00,Power Sense,Safia Afficher les détails Sense Club Rejoindre la liste d'attente 11:00 50 min Sense Flow Safia Afficher les détails Sense Club Rejoindre la liste d'attente 12:00 50 min Booty Sense Safia,disponible,,,True,2026-05-31 00:33
2026-05-31,Dimanche,12:00,Booty Sense,Safia,disponible,,,True,2026-05-31 09:50
2026-05-31,Dimanche,13:00,Sense Core Safia,,presque complet,1,4,True,2026-05-31 00:33
2026-05-31,Dimanche,13:00,Sense Core Safia Afficher les détails Sense Club Indisponible 15:30 50 min Power Sense Hermione,,disponible,,,True,2026-05-31 12:22
2026-05-31,Dimanche,13:00,Sense Core Safia Afficher les détails Sense Club Rejoindre la liste d'attente 15:30 50 min Power Sense Hermione,,disponible,,,True,2026-05-31 09:50
2026-05-31,Dimanche,15:30,Power Sense,Hermione,disponible,,,True,2026-05-31 14:00
2026-05-31,Dimanche,16:30,Booty Sense,Hermione,disponible,,,True,2026-05-31 16:08
2026-05-31,Dimanche,17:30,Power Sense,Hermione,presque complet,1,4,True,2026-05-31 16:08
2026-05-31,Dimanche,18:30,Booty Sense,Hermione,presque complet,1,4,True,2026-05-31 09:50
2026-06-01,Lundi,12:15,Power Sense,Sarah D Afficher les détails Sense Club Indisponible 13:15 50 min Booty Sense Sarah D,presque complet,1,4,True,2026-06-01 11:32
2026-06-01,Lundi,16:30,Booty Sense,Alexandre,disponible,,,True,2026-06-01 11:32
2026-06-01,Lundi,17:30,Power Sense,Alexandre,disponible,,,True,2026-06-01 11:32
2026-06-01,Lundi,18:30,Booty Sense,Alexandre - Head Coach Afficher les détails Sense Club Indisponible 19:30 50 min Power Sense Alexandre,disponible,,,True,2026-06-01 18:13
2026-06-01,Lundi,18:30,Booty Sense,Alexandre - Head Coach Afficher les détails Sense Club Rejoindre la liste d'attente 19:30 50 min Power Sense Alexandre,disponible,,,True,2026-06-01 11:32
2026-06-02,Mardi,08:00,Power Sense,Alexandra,disponible,,,True,2026-06-02 01:05
2026-06-02,Mardi,09:00,Booty Sense,Alexandra,disponible,,,True,2026-06-02 01:05
2026-06-02,Mardi,10:00,Power Sense,Alexandra,disponible,,,True,2026-06-02 01:05
2026-06-02,Mardi,11:15,Power Sense,Sarah E,disponible,,,True,2026-06-02 10:43
2026-06-02,Mardi,12:15,Booty Sense,Sarah E,presque complet,1,4,True,2026-06-02 10:43
2026-06-02,Mardi,13:15,Power Sense,Sarah E,disponible,,,True,2026-06-02 10:43
2026-06-02,Mardi,14:15,Power Sense,Sarah E,disponible,,,True,2026-06-02 10:43
2026-06-02,Mardi,15:15,Power Sense,Sarah E,disponible,,,True,2026-06-02 14:49
2026-06-02,Mardi,16:30,Power Sense,Jordan,disponible,,,True,2026-06-02 10:43
2026-06-02,Mardi,17:30,Booty Sense,Jordan,disponible,,,True,2026-06-02 14:49
2026-06-02,Mardi,18:30,Power Sense,Jordan,disponible,,,True,2026-06-02 14:49
2026-06-02,Mardi,19:30,Power Sense,Jordan,presque complet,1,4,True,2026-06-02 14:49
2026-06-02,Mardi,20:30,Power Sense,Alexandre,presque complet,1,4,True,2026-06-02 19:47
2026-06-03,Mercredi,08:00,Booty Sense,Kelly,disponible,,,True,2026-06-03 01:18
