date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-08-11,Mardi,07:45,08:45,Peloton,Peloton,STORM  ,8,0,True,2026-08-14 07:29
2026-08-11,Mardi,07:45,08:45,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-14 07:29
2026-08-11,Mardi,09:00,10:00,Peloton,Peloton,STORM ,8,0,True,2026-08-14 07:29
2026-08-11,Mardi,09:00,10:00,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-14 07:29
2026-08-11,Mardi,12:30,13:30,Peloton,Peloton,STORM  ,8,0,True,2026-08-14 07:29
2026-08-11,Mardi,12:30,13:30,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-14 07:29
2026-08-11,Mardi,18:00,19:00,Peloton,Peloton,STORM  ,8,0,True,2026-08-14 07:29
2026-08-11,Mardi,18:00,19:00,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-14 07:29
2026-08-11,Mardi,19:30,20:30,Peloton,Peloton,STORM ,8,0,True,2026-08-14 07:29
2026-08-11,Mardi,19:30,20:30,Échappée,ÉCHAPPÉE,STORM ,6,0,True,2026-08-14 07:29
2026-08-12,Mercredi,10:30,11:30,Peloton,Peloton,STORM  ,8,0,True,2026-08-15 02:36
2026-08-12,Mercredi,10:30,11:30,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-15 02:36
2026-08-12,Mercredi,11:30,12:30,Peloton,Peloton,STORM ,8,0,True,2026-08-15 02:36
2026-08-12,Mercredi,11:30,12:30,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-15 02:36
2026-08-12,Mercredi,12:30,13:30,Peloton,Peloton,STORM  ,8,0,True,2026-08-15 02:36
2026-08-12,Mercredi,12:30,13:30,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-15 02:36
2026-08-12,Mercredi,18:00,19:00,Peloton,Peloton,STORM  ,8,0,True,2026-08-15 02:36
2026-08-12,Mercredi,18:00,19:00,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-15 02:36
2026-08-12,Mercredi,19:15,20:15,Échappée,ÉCHAPPÉE,STORM ,6,0,True,2026-08-15 02:36
2026-08-12,Mercredi,19:30,20:30,Peloton,Peloton,STORM ,8,0,True,2026-08-15 02:36
2026-08-13,Jeudi,08:00,09:00,Peloton,Peloton,STORM  ,8,0,True,2026-08-16 02:36
2026-08-13,Jeudi,08:00,09:00,Échappée,ÉCHAPPÉE,STORM ,6,0,True,2026-08-16 02:36
2026-08-13,Jeudi,09:15,10:15,Peloton,Peloton,STORM ,8,0,True,2026-08-16 02:36
2026-08-13,Jeudi,09:15,10:15,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-16 02:36
2026-08-13,Jeudi,12:30,13:30,Peloton,Peloton,STORM  ,8,0,True,2026-08-16 02:36
2026-08-13,Jeudi,12:30,13:30,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-16 02:36
2026-08-13,Jeudi,18:00,19:00,Peloton,Peloton,STORM  ,8,0,True,2026-08-16 02:36
2026-08-13,Jeudi,18:00,19:00,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-16 02:36
2026-08-13,Jeudi,19:00,20:00,Peloton,Peloton,STORM  ,8,0,True,2026-08-16 02:36
2026-08-13,Jeudi,19:00,20:00,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-16 02:36
2026-08-14,Vendredi,07:30,08:30,Peloton,Peloton,STORM ,8,0,True,2026-08-16 02:36
2026-08-14,Vendredi,07:30,08:30,Échappée,ÉCHAPPÉE,STORM ,6,0,True,2026-08-16 02:36
2026-08-14,Vendredi,09:00,10:00,Peloton,Peloton,STORM ,8,0,True,2026-08-16 02:36
